link,latitude,longitude
https://goo.gl/maps/k2pQw9UHzsXtZZus7,12.9544908,77.5765487
https://goo.gl/maps/xcrZ1xpCUaMxDBZS7,12.8764731,77.6139951
https://goo.gl/maps/8je6qEzRdUHCscVDA,12.998371,77.5672757
https://goo.gl/maps/vxC9cR7qdsgdsvb96,12.9704161,77.6450233
https://goo.gl/maps/4ShsEPMHdoCF8ozP7,12.9374739,77.6149808
https://goo.gl/maps/B2iEuEAF2eCY56pN8,12.9967676,77.4302862
https://goo.gl/maps/nyujhQ4n2Xd79KiL8,13.200588,77.7084054
https://goo.gl/maps/VdU8WWfVZ3x7UBzXA,12.9681676,77.6042202
https://goo.gl/maps/7nF5w93v3Qpe2FcR6,13.3337536,75.7709389
https://goo.gl/maps/UjnP9Kxfhzm3ri4e9,12.9867934,77.5395198
https://goo.gl/maps/y84RACjtZ81R6Y1z8,13.0067934,77.5617794
https://goo.gl/maps/cW3ZGGQD7BRGCuzY9,13.3180858,75.7703096
https://goo.gl/maps/DpSV5Lt9tWYfZsDZ9,12.9930512,77.5501333
https://goo.gl/maps/pwrryLbuUCG33Mnk7,12.9967057,77.551774
https://goo.gl/maps/hKeCU6r9zQptJhad9,13.3159743,75.7719135
https://goo.gl/maps/qpsGFjnoFaEfJ4qc7,13.317034,75.7717938
https://goo.gl/maps/8gqk8SRACsxzcid3A,12.9703381,77.5847689
https://goo.gl/maps/tjwFoqf6Lfi9hAW57,13.0341678,77.5671061
https://goo.gl/maps/QnyKk8aSHBvmqvcK7,13.3238112,75.7717915
https://goo.gl/maps/76eVHEjKFU5y4UWu8,13.2861804,75.7819071
https://goo.gl/maps/X7CRH18xGjXZ1Xp3A,13.3161679,75.7718088
https://goo.gl/maps/E44GiLwwTHCefB7Q7,13.0007512,77.5615953
https://goo.gl/maps/9wKXKhqfbARPy9xF7,13.0255783,77.0222848
https://goo.gl/maps/BAFyc48jaxkmqsQm8,12.9905589,77.5723095
https://goo.gl/maps/1PVSb5ciLvn6EVqQ9,12.9705699,77.5759174
https://goo.gl/maps/eeprqHtoRdmQo1zo6,12.9343274,77.5836156
https://goo.gl/maps/7f9oEfRekT8z3XvB6,12.9259073,77.5617694
https://goo.gl/maps/5mv6AMGtzy76voSS6,13.0812078,77.5575174
https://goo.gl/maps/7Rnb6i1oxrWsC4Pc6,12.976195,77.5734115
https://goo.gl/maps/SfpzaVZjb15yzGCY7,14.2230724,76.3965749
https://goo.gl/maps/7AAg3mHTrMbPf2da9,14.2353483,76.399977
https://goo.gl/maps/iJQuYJofkKe73RZm6,12.9793335,77.646218
https://goo.gl/maps/CJfE4ViJuFEGAk2a8,12.9139816,77.6061246
https://goo.gl/maps/CZSoXrr3EiKgcjkf6,12.9372074,77.617387
https://goo.gl/maps/AVgXY6bCYwqyXD2w7,12.9928434,77.5931478
https://goo.gl/maps/QiNXwKLTXDZAp8EL8,28.6485467,77.2309879
https://goo.gl/maps/nZj1PS668jNfbLpA7,28.6470502,77.2328152
https://goo.gl/maps/uGgQNLPSh1rmvGqY7,28.6498907,77.234674
https://goo.gl/maps/Rn7PuaCxfa68WGjc9,28.6490997,77.2310553
https://goo.gl/maps/LJaEJYFWiiRrAFfR9,28.648454,77.2310097
https://goo.gl/maps/WD7TiRSceT7kt3Av8,28.6468543,77.2319186
https://goo.gl/maps/dmRWGoWQBNQ9jGLh6,28.648251,77.2334832
https://goo.gl/maps/LUSiX2xhzDGeRGmeA,12.9499581,77.5704208
https://goo.gl/maps/Lt6hyr2okH8U9HJr5,12.9362992,77.5646033
https://goo.gl/maps/zQF6x2erxisqybcX9,28.6495317,77.2310154
https://goo.gl/maps/QN7cVusJLjjrVf7s5,28.649768,77.2317441
https://goo.gl/maps/WTaADBYKtyymH6cX6,28.6495373,77.2336798
https://goo.gl/maps/RGrvpafSSBhP3xrXA,28.6474937,77.224623
https://goo.gl/maps/bDxUedn1YQe6xUzUA,28.5761937,76.3240155
https://goo.gl/maps/4jqz2BXnPG8564f1A,28.6564483,77.2278728
https://goo.gl/maps/p5y2cUVxQKviYHjs7,28.6566126,77.2205798
https://goo.gl/maps/5gv3cSufdZupmw5M7,28.6547457,77.2303697
https://goo.gl/maps/FDGhRkUfjiwtoXCB7,28.6510622,77.2284977
https://goo.gl/maps/hNBCe17by9FWSWGNA,28.6554123,77.2286775
https://goo.gl/maps/8A5Es3pz8EtyfpKJ6,28.6560645,77.2309199
https://goo.gl/maps/jwUKd1Z1qLnMw4pa8,28.6560569,77.2305841
https://goo.gl/maps/EsTX6eJWZEWSUYFU8,12.9772813,77.722731
https://goo.gl/maps/LfTp7fxXZrzvqDiUA,11.6583248,78.151233
https://goo.gl/maps/eZxkjKXLwnYnJ7qV9,11.249036,75.7794013
https://goo.gl/maps/XFg7gC2peFaYUMFM6,13.0281401,77.5699398
https://goo.gl/maps/domXSFV6esnRKh54A,12.9714134,77.5940268
https://goo.gl/maps/9t1dDAxJVj64Mmm46,12.9508273,77.5772513
https://goo.gl/maps/eqCLGkb9Fz99wVJH6,12.7017558,78.6419097
https://goo.gl/maps/3gNsnCMSfY5MAqj78,12.9720527,77.63997
https://goo.gl/maps/EFWnsag4W7Q1zM6CA,12.9347556,77.6209277
"https://maps.google.com/?q=12.981625,77.533104",12.981625,77.533104
https://goo.gl/maps/p4aUkgUkjf4xXsis7,13.0723477,77.5541144
https://goo.gl/maps/nDMm2kuzNWGjTt9d7,12.9362362,77.6040001
https://goo.gl/maps/zh13NKtcsnAaMsss8,12.9078791,77.6441739
https://goo.gl/maps/JdNwmVJuM3oWc2RaA,12.9902333,77.5721779
https://goo.gl/maps/kmLtQok9F1mMZgPeA,13.0070765,77.5687789
https://goo.gl/maps/tWid3KSQTZ8kqhvN7,13.3408807,74.7421427
https://goo.gl/maps/NwHYhKqAysHCFd8o9,12.9786823,77.6343753
https://goo.gl/maps/BQ3BHchm4BwiQFHS6,15.3631251,75.1231201
https://goo.gl/maps/F6cVrfeeLFrqcy4Q9,12.9675927,77.5687532
https://goo.gl/maps/eWkpNJVJ9LzbxfJt7,15.4514662,73.862414
https://goo.gl/maps/uju8QMF1gu54sYkd6,15.4934409,73.9983172
https://goo.gl/maps/zLXSkfzQ4YBSQkj38,13.3021547,77.1389719
https://goo.gl/maps/jTCqkNGFhFme76P87,13.0223805,77.6357849
https://goo.gl/maps/RYGsMJiji9hRSm7M7,15.4728073,73.8095064
https://goo.gl/maps/dDZxBkhMEf2CQvE1A,14.6115964,75.6358528
https://goo.gl/maps/ncojxUtQHJs1scor6,15.5723798,73.7893293
https://goo.gl/maps/GZt6GDjxZURjNCmq6,15.4997278,73.8265819
https://goo.gl/maps/gYhpSmnoPvXAjscB7,12.923417,77.5872883
https://goo.gl/maps/iVdwvVCgCRZN2ZYMA,13.1328901,75.6383654
https://goo.gl/maps/mmN3yXnMhG1GesJ97,12.9156873,77.6470947
https://goo.gl/maps/rzbBDFFLtAr41ov98,12.9559826,77.5784374
https://goo.gl/maps/7nW69goggKE6sSgw7,12.9183553,77.5539046
https://goo.gl/maps/Ucjbpq6GPErz2Bdu6,12.8757529,74.8391787
https://goo.gl/maps/4mG32SJjtM9vp8bZ6,14.0945752,74.4862108
https://goo.gl/maps/xYDXn3tNo9BVGCD48,12.8721692,74.8325983
https://goo.gl/maps/5yhYtRycMc8qMWHPA,13.144079,74.770489
